Using cpu device
Logging to ./logs/PPO_8
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 9.78     |
|    ep_rew_mean     | -96.7    |
| time/              |          |
|    fps             | 1152     |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 8192     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.2        |
|    ep_rew_mean          | -92.6       |
| time/                   |             |
|    fps                  | 494         |
|    iterations           | 2           |
|    time_elapsed         | 33          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.013826085 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.47       |
|    explained_variance   | -0.0109     |
|    learning_rate        | 0.0003      |
|    loss                 | 443         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0121     |
|    std                  | 0.364       |
|    value_loss           | 1.88e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.8        |
|    ep_rew_mean          | -92.5       |
| time/                   |             |
|    fps                  | 447         |
|    iterations           | 3           |
|    time_elapsed         | 54          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.043549128 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | -0.000103   |
|    learning_rate        | 0.0003      |
|    loss                 | 283         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00874    |
|    std                  | 0.36        |
|    value_loss           | 915         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.37        |
|    ep_rew_mean          | -91.8       |
| time/                   |             |
|    fps                  | 405         |
|    iterations           | 4           |
|    time_elapsed         | 80          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.012562871 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | -1.6e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 121         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00906    |
|    std                  | 0.358       |
|    value_loss           | 499         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.97        |
|    ep_rew_mean          | -90.5       |
| time/                   |             |
|    fps                  | 395         |
|    iterations           | 5           |
|    time_elapsed         | 103         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.008249667 |
|    clip_fraction        | 0.0751      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.645       |
|    learning_rate        | 0.0003      |
|    loss                 | 98.3        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0149     |
|    std                  | 0.357       |
|    value_loss           | 219         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.32        |
|    ep_rew_mean          | -82.2       |
| time/                   |             |
|    fps                  | 385         |
|    iterations           | 6           |
|    time_elapsed         | 127         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.010873567 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.738       |
|    learning_rate        | 0.0003      |
|    loss                 | 60.7        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.018      |
|    std                  | 0.355       |
|    value_loss           | 153         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.26        |
|    ep_rew_mean          | -83.8       |
| time/                   |             |
|    fps                  | 378         |
|    iterations           | 7           |
|    time_elapsed         | 151         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.017287876 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.796       |
|    learning_rate        | 0.0003      |
|    loss                 | 57.5        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.024      |
|    std                  | 0.351       |
|    value_loss           | 112         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.49        |
|    ep_rew_mean          | -80         |
| time/                   |             |
|    fps                  | 377         |
|    iterations           | 8           |
|    time_elapsed         | 173         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.022442738 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.21       |
|    explained_variance   | 0.809       |
|    learning_rate        | 0.0003      |
|    loss                 | 48.7        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0257     |
|    std                  | 0.349       |
|    value_loss           | 92          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.18        |
|    ep_rew_mean          | -76.9       |
| time/                   |             |
|    fps                  | 370         |
|    iterations           | 9           |
|    time_elapsed         | 198         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.028219998 |
|    clip_fraction        | 0.301       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | 35.4        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0256     |
|    std                  | 0.345       |
|    value_loss           | 78.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 10.4        |
|    ep_rew_mean          | -71.8       |
| time/                   |             |
|    fps                  | 371         |
|    iterations           | 10          |
|    time_elapsed         | 220         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.029865738 |
|    clip_fraction        | 0.33        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.783       |
|    learning_rate        | 0.0003      |
|    loss                 | 32.2        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0267     |
|    std                  | 0.341       |
|    value_loss           | 81.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.58        |
|    ep_rew_mean          | -68.8       |
| time/                   |             |
|    fps                  | 365         |
|    iterations           | 11          |
|    time_elapsed         | 246         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.030051172 |
|    clip_fraction        | 0.344       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | 0.8         |
|    learning_rate        | 0.0003      |
|    loss                 | 43          |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0253     |
|    std                  | 0.337       |
|    value_loss           | 76.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.78        |
|    ep_rew_mean          | -67.4       |
| time/                   |             |
|    fps                  | 366         |
|    iterations           | 12          |
|    time_elapsed         | 268         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.028718911 |
|    clip_fraction        | 0.315       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.811       |
|    learning_rate        | 0.0003      |
|    loss                 | 30          |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0223     |
|    std                  | 0.332       |
|    value_loss           | 69.8        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 11.2       |
|    ep_rew_mean          | -62.2      |
| time/                   |            |
|    fps                  | 360        |
|    iterations           | 13         |
|    time_elapsed         | 295        |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.03026686 |
|    clip_fraction        | 0.346      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.79      |
|    explained_variance   | 0.775      |
|    learning_rate        | 0.0003     |
|    loss                 | 41.7       |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0276    |
|    std                  | 0.324      |
|    value_loss           | 81         |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13.8        |
|    ep_rew_mean          | -58.9       |
| time/                   |             |
|    fps                  | 360         |
|    iterations           | 14          |
|    time_elapsed         | 318         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.035010256 |
|    clip_fraction        | 0.361       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.759       |
|    learning_rate        | 0.0003      |
|    loss                 | 36.5        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0271     |
|    std                  | 0.316       |
|    value_loss           | 83.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.4        |
|    ep_rew_mean          | -54.4       |
| time/                   |             |
|    fps                  | 357         |
|    iterations           | 15          |
|    time_elapsed         | 343         |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.029793441 |
|    clip_fraction        | 0.357       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.49       |
|    explained_variance   | 0.752       |
|    learning_rate        | 0.0003      |
|    loss                 | 66.2        |
